temp,dew,humidity,precip,windspeed,pollen_intensity,Clear,Partially cloudy,Rain,"Rain, Overcast","Rain, Partially cloudy",tem amplitude,Kmeans label,birch,dbscan,risk level
28.3,7.4,27.8,0.0,21.9,4.0,1.0,0.0,0.0,0.0,0.0,10.700000000000003,1,2,-1,2
26.4,10.6,39.3,0.0,20.1,4.0,1.0,0.0,0.0,0.0,0.0,14.000000000000004,1,2,-1,2
26.8,10.3,37.2,0.0,19.8,4.0,1.0,0.0,0.0,0.0,0.0,11.600000000000001,1,2,-1,1
26.8,7.2,29.7,0.0,20.1,4.0,1.0,0.0,0.0,0.0,0.0,11.400000000000002,1,2,-1,2
21.1,13.9,64.4,0.0,19.1,4.0,1.0,0.0,0.0,0.0,0.0,10.100000000000001,0,0,-1,2
18.7,13.5,73.0,1.855,22.8,4.0,0.0,0.0,1.0,0.0,0.0,6.899999999999999,0,0,0,2
17.3,8.6,58.7,0.0,22.0,4.0,1.0,0.0,0.0,0.0,0.0,7.799999999999999,1,0,0,2
16.1,11.8,77.0,4.127,35.6,4.0,0.0,0.0,1.0,0.0,0.0,7.4,0,1,-1,3
16.6,8.4,60.9,0.013,21.9,3.0,0.0,0.0,1.0,0.0,0.0,8.3,0,0,0,2
17.0,7.9,57.0,0.0,24.6,3.0,1.0,0.0,0.0,0.0,0.0,9.4,1,2,0,1
17.6,11.0,66.2,0.0,19.9,3.0,1.0,0.0,0.0,0.0,0.0,10.700000000000001,0,0,0,2
18.1,10.3,62.6,0.0,24.7,3.0,1.0,0.0,0.0,0.0,0.0,8.4,0,0,0,1
17.9,9.9,61.9,0.0,31.9,3.0,1.0,0.0,0.0,0.0,0.0,7.5,0,0,-1,2
17.6,7.6,54.3,0.0,28.7,3.0,1.0,0.0,0.0,0.0,0.0,8.799999999999999,1,2,-1,1
16.8,8.3,59.5,0.0,26.6,3.0,1.0,0.0,0.0,0.0,0.0,8.1,1,0,0,1
16.5,10.4,68.2,0.0,20.4,3.0,1.0,0.0,0.0,0.0,0.0,7.5,0,0,0,1
17.6,10.8,66.0,0.001,20.1,3.0,0.0,0.0,1.0,0.0,0.0,9.4,0,0,0,2
18.2,9.8,59.5,0.0,23.2,3.0,1.0,0.0,0.0,0.0,0.0,9.9,1,0,0,3
17.3,11.3,69.2,0.0,23.9,3.0,1.0,0.0,0.0,0.0,0.0,9.2,0,0,0,2
19.0,16.7,87.1,1.643,34.2,3.0,0.0,0.0,1.0,0.0,0.0,6.300000000000001,2,1,-1,1
20.0,16.3,80.7,0.327,21.3,3.0,0.0,0.0,1.0,0.0,0.0,5.799999999999997,2,1,0,2
18.4,12.9,71.6,0.0,21.9,3.0,1.0,0.0,0.0,0.0,0.0,7.300000000000001,0,0,0,2
19.3,10.9,60.3,0.0,23.6,2.0,1.0,0.0,0.0,0.0,0.0,9.399999999999999,1,0,0,2
19.1,11.1,62.6,0.0,22.5,2.0,1.0,0.0,0.0,0.0,0.0,11.4,0,0,0,1
19.0,17.8,93.0,2.081,18.6,2.0,0.0,0.0,1.0,0.0,0.0,3.5,2,1,-1,1
19.0,14.7,76.5,1.307,11.9,2.0,0.0,0.0,1.0,0.0,0.0,4.699999999999999,0,1,-1,2
20.6,14.5,68.9,0.018,15.8,2.0,0.0,0.0,1.0,0.0,0.0,9.299999999999997,0,0,0,2
19.8,16.2,81.0,0.774,16.7,2.0,0.0,0.0,1.0,0.0,0.0,7.699999999999999,2,1,0,1
19.9,15.0,75.2,0.0,22.1,2.0,1.0,0.0,0.0,0.0,0.0,8.600000000000001,0,1,0,3
21.6,13.8,63.1,0.0,24.5,1.0,1.0,0.0,0.0,0.0,0.0,11.100000000000001,0,0,0,2
21.8,14.5,64.2,0.0,24.9,1.0,1.0,0.0,0.0,0.0,0.0,9.399999999999999,0,0,0,2
20.6,14.2,67.7,0.0,24.6,1.0,1.0,0.0,0.0,0.0,0.0,7.099999999999998,0,0,0,2
20.0,14.1,69.4,0.0,26.4,1.0,1.0,0.0,0.0,0.0,0.0,6.100000000000001,0,0,0,2
20.1,14.7,71.5,0.0,20.5,1.0,1.0,0.0,0.0,0.0,0.0,5.799999999999997,0,0,0,1
19.9,15.4,76.1,0.0,18.3,1.0,1.0,0.0,0.0,0.0,0.0,7.399999999999999,0,0,0,2
19.4,16.0,81.7,0.0,22.8,1.0,1.0,0.0,0.0,0.0,0.0,5.5,2,1,0,2
20.0,16.1,79.5,0.0,25.3,1.0,1.0,0.0,0.0,0.0,0.0,7.799999999999997,2,1,0,1
20.6,16.8,79.8,0.0,25.2,1.0,1.0,0.0,0.0,0.0,0.0,6.800000000000001,2,1,0,1
